0.0,-88.5338,-88.787,-0.5645,195.0,
0.063244,-90.053,-90.9392,1.7339,183.0,
0.250756,-84.7358,-85.2422,-3.4677,221.0,
0.439164,-84.6092,-85.8752,-2.5,218.0,
0.62553,-83.8496,-84.8624,-3.4677,224.0,
0.752234,-82.0772,-82.5836,-5.8871,237.0,
0.875691,-84.356,-85.3688,-3.2258,222.0,
1.000791,-82.0772,-82.5836,-6.25,241.0,
1.186701,-82.7102,-83.8496,-4.4355,232.0,
1.375235,-82.8368,-83.8496,-4.5565,234.0,
1.500699,-81.191,-81.824,-6.8548,245.0,
1.686796,-82.2038,-83.3432,-5.0403,236.0,
1.874781,-82.457,-83.4698,-4.9194,235.0,
2.001227,-81.5708,-82.3304,-6.129,240.0,
2.189789,-82.457,-83.5964,-4.9194,236.0,
2.312767,-81.6974,-82.2038,-6.7339,248.0,
2.437725,-83.2166,-84.356,-4.0726,229.0,
2.625721,-82.7102,-83.723,-4.7984,235.0,
2.750543,-81.4442,-82.0772,-6.371,241.0,
2.937731,-82.5836,-83.723,-4.7984,235.0,
3.124867,-82.3304,-83.2166,-5.1613,239.0,
3.314286,-79.7984,-80.4314,-8.0645,258.0,
3.439178,-82.7102,-83.9762,-4.4355,233.0,
3.562113,-81.9506,-82.457,-6.371,246.0,
3.686726,-83.4698,-84.6092,-3.8306,227.0,
3.813722,-81.6974,-82.2038,-6.6129,245.0,
3.937733,-83.9762,-85.1156,-3.3468,224.0,
4.061865,-82.8368,-83.2166,-5.6452,240.0,
4.250876,-82.3304,-83.4698,-4.7984,233.0,
4.438766,-82.7102,-83.8496,-4.5565,233.0,
4.624662,-82.0772,-82.9634,-5.4032,239.0,
4.812571,-79.925,-80.558,-8.0645,258.0,
4.999465,-80.558,-81.6974,-6.4919,246.0,
5.188337,-81.9506,-82.9634,-5.4032,241.0,
5.375847,-81.191,-81.9506,-6.6129,250.0,
5.561302,-79.5452,-80.1782,-8.3065,260.0,
5.750304,-81.191,-82.457,-5.7661,243.0,
5.93829,-81.5708,-82.5836,-5.8871,244.0,
6.124794,-81.3176,-82.2038,-6.129,246.0,
6.312095,-79.4186,-80.0516,-8.5484,261.0,
6.501982,-81.5708,-82.7102,-5.4032,242.0,
6.74972,-80.558,-81.6974,-6.4919,248.0,
6.874688,-81.5708,-82.2038,-6.371,248.0,
6.999176,-82.3304,-83.3432,-5.0403,236.0,
7.124735,-82.0772,-82.5836,-6.129,245.0,
7.250694,-83.3432,-84.4826,-3.9516,228.0,
7.373694,-83.3432,-83.9762,-4.9194,236.0,
7.499222,-83.5964,-84.6092,-3.8306,226.0,
