1,1554275427.294251,0.000000,-88.5338
2,1554275427.357496,0.031622,-90.053
3,1554275427.545007,0.083585,-84.7358
4,1554275427.733416,0.109791,-84.6092
5,1554275427.919781,0.125106,-83.8496
6,1554275428.046486,0.125372,-82.0772
7,1554275428.169943,0.125099,-84.356
8,1554275428.295042,0.125099,-82.0772
9,1554275428.480953,0.131856,-82.7102
10,1554275428.669486,0.137523,-82.8368
11,1554275428.794950,0.136427,-81.191
12,1554275428.981047,0.140566,-82.2038
13,1554275429.169033,0.144214,-82.457
14,1554275429.295479,0.142945,-81.5708
15,1554275429.484040,0.145986,-82.457
16,1554275429.607018,0.144548,-81.6974
17,1554275429.731976,0.143396,-83.2166
18,1554275429.919972,0.145873,-82.7102
19,1554275430.044794,0.144765,-81.4442
20,1554275430.231982,0.146887,-82.5836
21,1554275430.419119,0.148803,-82.3304
22,1554275430.608537,0.150649,-79.7984
23,1554275430.733429,0.149529,-82.7102
24,1554275430.856365,0.148421,-81.9506
25,1554275430.980978,0.147469,-83.4698
26,1554275431.107973,0.146682,-81.6974
27,1554275431.231984,0.145842,-83.9762
28,1554275431.356116,0.145067,-82.8368
29,1554275431.545127,0.146582,-82.3304
30,1554275431.733018,0.147959,-82.7102
31,1554275431.918914,0.149183,-82.0772
32,1554275432.106822,0.150393,-79.925
33,1554275432.293716,0.151499,-80.558
34,1554275432.482589,0.152598,-81.9506
35,1554275432.670098,0.153596,-81.191
36,1554275432.855554,0.154481,-79.5452
37,1554275433.044555,0.155414,-81.191
38,1554275433.232541,0.156271,-81.5708
39,1554275433.419045,0.157046,-81.3176
40,1554275433.606347,0.157802,-79.4186
41,1554275433.796234,0.158585,-81.5708
42,1554275434.043971,0.160708,-80.558
43,1554275434.168940,0.159876,-81.5708
44,1554275434.293427,0.159072,-82.3304
45,1554275434.418987,0.158327,-82.0772
46,1554275434.544946,0.157624,-83.3432
47,1554275434.667945,0.156887,-83.3432
48,1554275434.793474,0.156234,-83.5964
49,1554275434.919402,0.155615,-82.457
50,1554275435.043441,0.154984,-83.8496
51,1554275435.169440,0.154415,-82.7102
52,1554275435.293428,0.153830,-84.1028
53,1554275435.483443,0.154513,-82.9634
54,1554275435.606513,0.153931,-82.457
55,1554275435.730976,0.153395,-83.9762
56,1554275435.857906,0.152922,-83.4698
57,1554275436.046532,0.153549,-83.2166
58,1554275436.168939,0.153012,-81.9506
59,1554275436.357182,0.153609,-81.6974
60,1554275436.481986,0.153129,-83.09
61,1554275436.671028,0.153718,-80.4314
62,1554275436.794031,0.153222,-83.2166
63,1554275436.981850,0.153771,-82.3304
64,1554275437.106968,0.153324,-82.3304
65,1554275437.295862,0.153871,-82.7102
66,1554275437.480948,0.154344,-81.9506
67,1554275437.670038,0.154862,-79.7984
68,1554275437.795972,0.154437,-82.5836
69,1554275437.981979,0.154895,-81.824
70,1554275438.170941,0.155381,-80.0516
71,1554275438.356745,0.155810,-81.5708
72,1554275438.544999,0.156260,-81.824
73,1554275438.733955,0.156708,-79.7984
74,1554275438.918627,0.157086,-79.4186
75,1554275439.108516,0.157524,-81.5708
76,1554275439.292628,0.157873,-81.6974
77,1554275439.483042,0.158296,-79.925
78,1554275439.669029,0.158651,-79.4186
79,1554275439.858622,0.159043,-81.5708
80,1554275440.044613,0.159380,-81.5708
81,1554275440.232986,0.159737,-79.5452
82,1554275440.419539,0.160064,-79.6718
83,1554275440.608462,0.160412,-81.6974
84,1554275440.793562,0.160706,-81.6974
85,1554275440.983041,0.161045,-79.5452
86,1554275441.169045,0.161335,-79.5452
87,1554275441.359326,0.161668,-81.5708
88,1554275441.543955,0.161928,-81.4442
89,1554275441.733403,0.162238,-79.292
90,1554275441.917964,0.162486,-79.6718
91,1554275442.106550,0.162773,-81.5708
92,1554275442.293443,0.163035,-81.5708
93,1554275442.483440,0.163325,-79.4186
94,1554275442.668877,0.163560,-80.1782
95,1554275442.857092,0.163819,-81.6974
96,1554275443.043431,0.164054,-81.4442
97,1554275443.232631,0.164313,-79.4186
98,1554275443.420031,0.164549,-81.0644
99,1554275443.545109,0.164150,-81.9506
100,1554275443.732037,0.164378,-79.7984
101,1554275443.855965,0.163977,-82.8368
102,1554275443.982559,0.163611,-81.191
103,1554275444.168642,0.163829,-81.824
104,1554275444.295632,0.163475,-82.2038
105,1554275444.482819,0.163701,-80.3048
106,1554275444.606767,0.163326,-83.2166
107,1554275444.730962,0.162960,-81.5708
108,1554275444.857893,0.162626,-83.8496
109,1554275445.046541,0.162865,-81.0644
110,1554275445.169973,0.162507,-83.09
111,1554275445.295061,0.162169,-82.8368
112,1554275445.481966,0.162390,-80.6846
113,1554275445.609014,0.162078,-83.09
114,1554275445.732046,0.161735,-81.5708
115,1554275445.919040,0.161955,-82.7102
116,1554275446.045593,0.161649,-81.824
117,1554275446.168640,0.161320,-83.3432
118,1554275446.296445,0.161036,-81.9506
119,1554275446.483034,0.161250,-81.3176
120,1554275446.607964,0.160948,-83.4698
121,1554275446.796596,0.161176,-80.558
122,1554275446.982615,0.161380,-80.4314
123,1554275447.106518,0.161075,-83.2166
124,1554275447.296480,0.161308,-80.4314
125,1554275447.482889,0.161509,-80.558
126,1554275447.668765,0.161702,-81.824
127,1554275447.856658,0.161909,-81.9506
128,1554275448.043570,0.162104,-80.9378
129,1554275448.232443,0.162312,-80.558
130,1554275448.420335,0.162508,-81.6974
131,1554275448.606229,0.162687,-81.824
132,1554275448.795501,0.162888,-79.5452
133,1554275448.982031,0.163066,-79.925
134,1554275449.169478,0.163248,-81.5708
